Judge_Number,Pie_Number,Taste_Score,Appearance_Score,Creativity_Score,Botanicality_Score,Statisticality_Score
3,4,9,8,7,8,0
3,7,5,8,6,0,0
3,8,5,10,10,5,0
3,9,7,4,9,8,0
3,10,8,4,2,2,0
3,11,6,3,5,2,0
3,13,9,9,8,2,8
3,14,,7,9,2,0
3,15,3,6,2,2,0
3,16,7,1,2,2,0
3,17,3,10,7,2,10
1,11,9,5,8,9,1
1,14,7,7,9,9,1
1,4,6,8,9,10,8
1,7,8,9,8,7,1
1,8,4,8,9,9,3
1,9,7,7,8,8,4
1,10,4,7,5,3,1
1,13,9,7,6,5,9
1,17,5,9,8,3,9
1,16,4,5,4,2,1
1,15,6,5,4,2,1
1,C101,7,9,8,9,1
1,C100,7,7,7,9,1
21,4,9,9,9,9,1
21,11,9,8,7,4,1
21,14,8,8,9,9,1
21,17,8,8,7,5,10
21,16,7,6,8,6,2
21,15,7,7,8,7,7
21,13,9,9,8,8,1
21,10,8,8,9,6,1
21,C101,8,9,8,10,1
21,C100,7,8,8,9,1
21,9,10,8,8,8,1
21,8,8,10,8,9,1
21,7,7,8,6,5,1
6,4,7,10,10,10,1
6,7,7,7,6,2,1
6,8,6,10,6,9,1
6,9,9,5,10,6,1
6,10,8,6,5,3,1
6,11,10,4,6,3,1
6,13,6,6,8,8,10
6,14,7,7,7,7,1
6,15,7,4,6,3,5
6,17,7,7,4,2,10
14,4,8,9,9,10,5
14,7,8,7,7,8,3
14,8,9,8,8,9,2
14,9,10,7,9,9,3
14,11,8,8,9,8,2
14,14,7,9,8,9,2
14,15,9,9,9,9,8
14,10,9,10,9,9,2
14,C100,8,9,9,8,2
14,C101,8,8,9,8,2
6,C100,5,4,5,4,1
6,C101,5,7,5,8,1
12,11,10,5,5,1,1
12,14,6,8,8,10,1
12,4,8,10,10,10,1
12,7,9,10,8,1,1
12,8,10,10,9,10,1
12,9,10,8,10,10,1
19,14,13,14,17,4,15
19,13,10,9,13,13,13
12,C100,6,5,10,8,1
12,C101,7,10,8,10,1
12,10,9,10,5,8,1
12,13,10,8,10,10,10
12,17,7,8,10,5,10
12,15,10,9,10,1,6
12,16,9,8,10,5,1
2,17,6,7,5,5,10
2,14,6,7,7,8,1
2,16,8,7,6,2,1
2,11,8,5,6,6,1
2,7,9,8,5,5,1
2,8,9,8,8,7,1
2,9,7,8,8,8,1
2,10,8,8,8,4,1
2,15,7,6,6,7,1
2,13,9,8,8,9,9
4,4,9,9,10,10,1
4,C101,6,7,8,8,1
4,8,6,10,8,9,1
4,11,5,7,8,7,
10,9,7,7,7,8,1
10,7,8,8,8,3,1
10,13,7,10,10,5,10
10,8,5,9,10,5,1
10,10,10,7,7,3,1
10,11,10,7,7,3,1
10,17,8,8,8,3,10
10,14,7,7,10,8,1
10,15,9,7,8,8,1
10,16,7,7,8,5,1
10,4,9,8,8,8,1
7,17,7,7,8,7,10
7,10,9,7,5,7,2
7,11,6,5,6,7,2
7,13,6,7,9,7,10
7,14,7,7,7,7,2
7,16,9,3,5,6,2
7,15,5,5,6,7,8
7,4,8,7,9,7,7
7,7,9,8,6,6,5
7,8,8,8,9,7,5
7,9,7,7,8,9,7
7,C100,5,6,6,3,2
7,C101,6,7,7,8,5
5,10,9,7,4,3,1
5,11,9,5,7,3,1
5,14,7,6,8,5,1
5,4,9,10,10,10,1
5,7,10,8,4,1,1
5,8,9,9,7,8,1
5,9,10,7,7,7,1
5,16,7,4,8,3,1
5,13,8,8,10,9,9
5,17,10,10,9,6,10
5,15,9,7,10,6,1
15,4,6,9,10,10,3
15,11,8,5,7,3,1
15,14,5,8,8,6,1
15,17,8,6,7,5,10
15,15,7,5,6,5,6
15,16,6,3,5,5,1
15,10,6,7,3,4,1
15,13,7,8,8,9,9
15,C101,6,9,6,9,1
15,C100,7,5,7,7,1
15,7,5,8,5,5,1
15,8,9,10,9,8,1
15,9,9,6,7,6,1
11,4,,10,10,8,3
11,7,,8,6,3,2
11,8,,9,9,8,2
11,9,,7,9,9,1
11,C100,,7,8,7,1
11,C101,,8,7,7,1
11,10,,10,7,7,1
11,11,,6,7,7,4
11,13,,8,9,9,9
11,14,,9,10,7,2
11,15,,7,7,7,7
11,16,,6,7,7,1
11,17,,9,8,8,10
17,4,8,9,10,9,1
17,7,8,7,7,8,1
17,9,8,7,8,8,1
17,C100,7,7,7,7,1
17,C101,6,7,6,6,1
17,10,7,8,7,6,1
17,11,9,6,7,8,1
17,13,8,7,7,7,1
17,16,8,7,7,7,1
17,15,7,7,7,7,1
17,17,9,8,7,7,1
16,4,10,10,10,10,1
16,14,8,9,8,8,1
16,11,9,6,7,5,5
16,10,8,9,6,6,1
16,9,8,8,8,7,1
16,8,8,10,9,10,1
16,7,7,8,7,7,1
16,16,6,6,6,6,1
16,13,10,10,10,9,10
16,17,9,9,9,9,10
16,15,9,8,8,8,9
9,9,6.5,7,8,6,1
9,4,7,7,8,10,1
9,14,6,7,6,5,1
